Female Count,Asian Count,Female Count,Black or African American Count
2,0,2,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
3,0,3,1
3,0,3,1
1,0,1,1
24,0,24,2
4,0,4,3
8,0,8,11
20,0,20,16
26,0,26,18
23,0,23,20
20,0,20,21
13,0,13,23
28,0,28,35
89,0,89,79
67,0,67,122
1,1,1,0
1,1,1,0
5,1,5,3
8,1,8,4
24,1,24,4
21,1,21,5
15,1,15,7
26,1,26,8
28,1,28,9
24,1,24,14
150,1,150,199
187,1,187,241
4,2,4,2
87,2,87,10
23,2,23,11
63,2,63,50
73,2,73,83
128,2,128,221
63,3,63,0
31,3,31,16
107,4,107,17
125,4,125,101
153,4,153,114
122,4,122,170
325,4,325,171
86,5,86,13
41,6,41,1
61,6,61,30
73,7,73,2
296,7,296,161
55,8,55,40
99,9,99,2
59,9,59,113
203,10,203,30
341,11,341,33
283,11,283,41
110,11,110,69
363,11,363,198
228,11,228,281
88,12,88,106
121,12,121,127
129,13,129,37
121,13,121,60
1498,13,1498,110
104,13,104,171
159,14,159,19
1263,14,1263,1768
124,15,124,99
242,16,242,129
511,17,511,289
94,18,94,15
17,19,17,0
110,19,110,54
366,22,366,58
248,22,248,208
1279,23,1279,108
2730,25,2730,4202
23,26,23,0
109,26,109,32
323,26,323,185
261,27,261,118
236,27,236,194
89,29,89,48
200,31,200,105
164,32,164,73
176,33,176,94
399,34,399,234
3946,34,3946,5594
965,35,965,1452
236,41,236,120
163,47,163,56
137,57,137,40
482,60,482,364
526,60,526,376
139,69,139,29
201,71,201,115
559,72,559,42
184,73,184,96
1141,76,1141,2084
659,81,659,41
277,90,277,6
216,92,216,408
312,101,312,4
326,104,326,271
321,112,321,270
234,113,234,365
1551,113,1551,2809
4324,123,4324,4944
322,124,322,149
437,130,437,18
430,134,430,14
310,151,310,134
312,174,312,21
368,175,368,26
5453,185,5453,5796
1563,190,1563,828
1786,199,1786,1048
4534,206,4534,7918
345,227,345,4
13918,236,13918,10854
14219,259,14219,11066
6602,282,6602,11333
350,288,350,8
1847,296,1847,941
2325,298,2325,1419
1935,316,1935,940
2106,322,2106,2722
654,373,654,7
12331,374,12331,9257
609,377,609,7
677,414,677,15
12349,414,12349,9544
708,419,708,4
1533,456,1533,24
3067,476,3067,3848
1596,572,1596,20
1649,654,1649,389
1810,774,1810,365
2884,834,2884,2400
3416,1050,3416,2773
7810,1449,7810,4078
8179,1678,8179,4278
6399,1762,6399,3556
6595,1839,6595,3864
8868,2379,8868,10351
8941,2740,8941,6327
14780,2789,14780,14183
10748,2835,10748,12307
15147,2836,15147,14480
9275,2993,9275,6728
7416,3106,7416,5000
8483,3366,8483,5874
11593,4202,11593,6376
12023,4424,12023,6423
17428,5277,17428,15551
18185,5833,18185,15672
